Country_region,Density_P_Km2,Birth_Rate,Co2_Emissions,Life_expectancy,Out_of_pocket_health_expenditure
Afghanistan,60,32.49,8672,64.5,78.40%
Albania,105,11.78,4536,78.5,56.90%
Algeria,18,24.28,150006,76.7,28.10%
Andorra,164,7.2,469,,36.40%
Angola,26,40.73,34693,60.8,33.40%
Antigua and Barbuda,223,15.33,557,76.9,24.30%
Argentina,17,17.02,201348,76.5,17.60%
Armenia,104,13.99,5156,74.9,81.60%
Australia,3,12.6,375908,82.7,19.60%
Austria,109,9.7,61448,81.6,17.90%
Azerbaijan,123,14,37620,72.9,78.60%
The Bahamas,39,13.97,1786,73.8,27.80%
Bahrain,2239,13.99,31694,77.2,25.10%
Bangladesh,1265,18.18,84246,72.3,71.80%
Barbados,668,10.65,1276,79.1,45.20%
Belarus,47,9.9,58280,74.2,34.50%
Belgium,383,10.3,96889,81.6,17.60%
Belize,17,20.79,568,74.5,22.70%
Benin,108,36.22,6476,61.5,40.50%
Bhutan,20,17.26,1261,71.5,19.80%
Bolivia,11,21.75,21606,71.2,25.90%
Bosnia and Herzegovina,64,8.11,21848,77.3,28.60%
Botswana,4,24.82,6340,69.3,5.30%
Brazil,25,13.92,462299,75.7,28.30%
Brunei,83,14.9,7664,75.7,6.00%
Bulgaria,64,8.9,41708,74.9,47.70%
Burkina Faso,76,37.93,3418,61.2,36.10%
Burundi,463,39.01,495,61.2,19.10%
Ivory Coast,83,35.74,9674,57.4,36.00%
Cape Verde,138,19.49,543,72.8,23.20%
Cambodia,95,22.46,9919,69.6,59.40%
Cameroon,56,35.39,8291,58.9,69.70%
Canada,4,10.1,544894,81.9,14.60%
Central African Republic,8,35.35,297,52.8,39.60%
Chad,13,42.17,1016,54,56.40%
Chile,26,12.43,85822,80,32.20%
China,153,10.9,9893038,77,32.40%
Colombia,46,14.88,97814,77.1,18.30%
Comoros,467,31.88,202,64.1,74.80%
Republic of the Congo,16,32.86,3282,64.3,43.80%
Costa Rica,100,13.97,8023,80.1,21.50%
Croatia,73,9,17488,78.1,15.20%
Cuba,106,10.17,28284,78.7,
Cyprus,131,10.46,6626,80.8,43.90%
Czech Republic,139,10.7,102218,79,14.80%
Democratic Republic of the Congo,40,41.18,2021,60.4,37.40%
Denmark,137,10.6,31786,81,13.70%
Djibouti,43,21.47,620,66.6,20.40%
Dominica,96,12,180,76.6,28.40%
